RowID,PersonType,PersonTypeCode,IDNumber,Nationality,NameShort,Phone,Location,Latitude,Longitude,IssueDate,ExpiryDate,TokenId,TokenStartTime,TokenEndTime,UsageTime,TokenDurationMinutes,UsedWithinValidity,DeviceId,State,StateArabic,RiskLabel,RiskReason,FraudType
2930,Citizen,1,1482800780,Saudi,Aaron J.,513076093,Tabuk,28.3833,36.5667,12/15/2023,8/25/2026,TKN-87330027,10/3/2024 22:22,10/3/2024 22:37,10/3/2024 22:24,15,1,DEV-04519908,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
813,Citizen,1,1231356272,Saudi,Aaron L.,544130183,Tabuk,28.3833,36.5667,6/25/2024,4/30/2027,TKN-06791766,7/14/2025 17:01,7/14/2025 17:16,7/14/2025 17:05,15,1,DEV-78948963,Active,فعال,Low,None,None
3454,Citizen,1,1223244104,Saudi,Aaron O.,598049954,Jeddah,21.4858,39.1925,10/18/2025,5/5/2026,TKN-42985270,11/8/2025 5:07,11/8/2025 5:22,11/8/2025 5:09,15,1,DEV-30987038,Active,فعال,Low,None,None
2660,Citizen,1,1296094861,Saudi,Aaron P.,562935392,Makkah,21.3891,39.8579,5/4/2025,12/12/2025,TKN-45636798,6/22/2025 5:25,6/22/2025 5:40,6/22/2025 5:30,15,1,DEV-58320143,Active,فعال,Low,None,None
913,Citizen,1,1253622930,Saudi,Aaron R.,577276832,Madinah,24.5247,39.5692,7/15/2025,4/21/2028,TKN-61337184,10/4/2025 23:59,10/5/2025 0:14,10/5/2025 0:05,15,1,DEV-38527789,Active,فعال,Low,None,None
2246,Citizen,1,1572757561,Saudi,Aaron S.,590788531,Riyadh,24.7136,46.6753,7/15/2024,3/20/2027,TKN-53425556,10/17/2024 19:27,10/17/2024 19:42,10/17/2024 19:30,15,1,DEV-46440261,Active,فعال,Low,None,None
3975,Resident,2,2901197318,Pakistani,Aaron W.,586054522,Jazan,16.8895,42.57,8/19/2025,7/28/2026,TKN-75205935,12/6/2025 6:26,12/6/2025 6:41,12/6/2025 6:33,15,1,DEV-72646271,Active,فعال,Low,None,None
862,Resident,2,2581544961,Yemeni,Aaron W.,570945449,Riyadh,24.7136,46.6753,3/13/2025,11/12/2027,TKN-03301623,5/26/2025 8:25,5/26/2025 8:40,5/26/2025 8:37,15,1,DEV-42929132,Active,فعال,Low,None,None
3244,Citizen,1,1502803298,Saudi,Abigail B.,549831784,Makkah,21.3891,39.8579,9/22/2025,9/8/2028,TKN-77469033,11/24/2025 6:55,11/24/2025 7:10,11/24/2025 6:58,15,1,DEV-32253502,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
309,Resident,2,2165564833,Indian,Abigail H.,598413629,Hail,27.5114,41.7208,8/8/2024,2/11/2027,TKN-85714224,8/26/2024 10:37,8/26/2024 10:52,8/26/2024 11:36,15,0,DEV-94353344,Expired,منتهي,Medium,Token Expired,None
618,Citizen,1,1711198748,Saudi,Abigail S.,560228268,Jazan,16.8895,42.57,5/9/2024,8/29/2026,TKN-13765158,7/30/2025 13:18,7/30/2025 13:33,7/30/2025 13:31,15,1,DEV-43535375,Active,فعال,Low,None,None
551,Resident,2,2410704185,Yemeni,Abigail S.,574382155,Jazan,16.8895,42.57,11/24/2024,8/1/2027,TKN-82963533,11/25/2025 13:56,11/25/2025 14:11,11/25/2025 14:07,15,1,DEV-27910336,Active,فعال,Low,None,None
1186,Citizen,1,1434268004,Saudi,Adam B.,575032899,Jazan,16.8895,42.57,12/30/2024,4/9/2026,TKN-31978999,2/23/2025 7:14,2/23/2025 7:29,2/23/2025 7:26,15,1,DEV-18600320,Active,فعال,Low,None,None
2821,Citizen,1,1435062311,Saudi,Adam B.,560696877,Hail,27.5114,41.7208,12/26/2023,10/26/2024,TKN-39051011,2/3/2024 6:17,2/3/2024 6:32,2/3/2024 6:31,15,1,DEV-02221268,Active,فعال,Low,None,None
30,Resident,2,2697801251,Yemeni,Adam B.,568800797,Jazan,16.8895,42.57,7/17/2025,4/20/2027,TKN-70656272,10/1/2025 5:45,10/1/2025 6:00,10/1/2025 5:52,15,1,DEV-68893734,Active,فعال,Low,None,None
2346,Citizen,1,1641816840,Saudi,Adam C.,575875378,Al Baha,20.0129,41.4677,12/11/2024,5/31/2027,TKN-86770667,7/14/2025 20:27,7/14/2025 20:42,7/14/2025 20:28,15,1,DEV-88888888,Suspicious,مشبوه,High,Multiple IDs from single device,DeviceHopping
2552,Resident,2,2682061852,Egyptian,Adam G.,575945661,Riyadh,24.7136,46.6753,5/22/2025,4/13/2027,TKN-30892290,11/13/2025 10:39,11/13/2025 10:54,11/13/2025 10:50,15,1,DEV-44794080,Active,فعال,Low,None,None
2325,Citizen,1,1017101842,Saudi,Adam H.,524962673,Makkah,21.3891,39.8579,5/15/2025,6/29/2027,TKN-03118287,9/29/2025 16:26,9/29/2025 16:41,9/29/2025 16:30,15,1,DEV-99112946,Active,فعال,Low,None,None
3826,Citizen,1,1384510222,Saudi,Adam H.,518678230,Tabuk,28.3833,36.5667,2/7/2025,11/18/2025,TKN-02615542,6/16/2025 14:01,6/16/2025 14:16,6/16/2025 14:07,15,1,DEV-41111201,Active,فعال,Low,None,None
1216,Citizen,1,1801476885,Saudi,Adam J.,550302318,Al Baha,20.0129,41.4677,9/12/2024,5/5/2026,TKN-35450369,11/4/2024 4:31,11/4/2024 4:46,11/4/2024 4:44,15,1,DEV-02555019,Active,فعال,Low,None,None
794,Citizen,1,1881622236,Saudi,Adam M.,555901507,Jeddah,21.4858,39.1925,5/9/2025,5/26/2027,TKN-86395613,7/12/2025 11:21,7/12/2025 11:36,7/12/2025 12:37,15,0,DEV-35715586,Expired,منتهي,Medium,Token Expired,None
1106,Citizen,1,1755809082,Saudi,Adam M.,595013818,Riyadh,24.7136,46.6753,7/13/2025,6/8/2028,TKN-05243838,8/13/2025 13:49,8/13/2025 14:04,8/13/2025 13:55,15,1,DEV-85386310,Active,فعال,Low,None,None
1649,Citizen,1,1376909699,Saudi,Adam S.,566112969,Makkah,21.3891,39.8579,3/19/2025,8/8/2026,TKN-25529050,6/19/2025 22:23,6/19/2025 22:38,6/19/2025 23:02,15,0,DEV-42718669,Expired,منتهي,Medium,Token Expired,None
252,Resident,2,2793253262,Pakistani,Adam V.,596707983,Al Baha,20.0129,41.4677,1/12/2024,12/12/2025,TKN-84639208,10/31/2025 18:23,10/31/2025 18:38,10/31/2025 18:26,15,1,DEV-75957947,Active,فعال,Low,None,None
396,Citizen,1,1796152940,Saudi,Adam W.,525745913,Tabuk,28.3833,36.5667,10/1/2024,12/3/2025,TKN-87572158,5/24/2025 2:49,5/24/2025 3:04,5/24/2025 2:52,15,1,DEV-65280924,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
2306,Citizen,1,1685111610,Saudi,Adam W.,524118375,Madinah,24.5247,39.5692,1/10/2024,11/17/2026,TKN-76834875,12/1/2025 8:36,12/1/2025 8:51,12/1/2025 8:47,15,1,DEV-40046454,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
225,Citizen,1,1643520276,Saudi,Adrian J.,517352710,Riyadh,24.7136,46.6753,5/13/2025,6/6/2026,TKN-50110248,8/4/2025 17:22,8/4/2025 17:37,8/4/2025 17:30,15,1,DEV-61386120,Active,فعال,Low,None,None
1993,Resident,2,2784889041,Sudanese,Adrian S.,567785785,Jazan,16.8895,42.57,2/7/2025,5/17/2026,TKN-67765766,9/24/2025 17:46,9/24/2025 18:01,9/24/2025 17:57,15,1,DEV-39116457,Active,فعال,Low,None,None
1831,Resident,2,2760759357,Bangladeshi,Adriana A.,597951446,Dammam,26.4207,50.0888,3/3/2025,1/15/2028,TKN-21063781,10/7/2025 20:31,10/7/2025 20:46,10/7/2025 20:36,15,1,DEV-11846512,Active,فعال,Low,None,None
143,Citizen,1,1474840200,Saudi,Adriana B.,547333543,Dammam,26.4207,50.0888,2/24/2024,4/13/2026,TKN-12382825,1/29/2025 10:19,1/29/2025 10:34,1/29/2025 10:30,15,1,DEV-75140105,Active,فعال,Low,None,None
1931,Citizen,1,1062193817,Saudi,Adriana G.,541966664,Makkah,21.3891,39.8579,3/3/2025,12/2/2025,TKN-34705070,6/3/2025 5:10,6/3/2025 5:25,6/3/2025 5:16,15,1,DEV-11699213,Active,فعال,Low,None,None
1797,Resident,2,2374256340,Syrian,Adriana W.,572685550,Tabuk,28.3833,36.5667,5/26/2024,2/11/2026,TKN-50029573,3/12/2025 3:13,3/12/2025 3:28,3/12/2025 3:19,15,1,DEV-28660138,Active,فعال,Low,None,None
156,Citizen,1,1845805127,Saudi,Alan C.,578147397,Madinah,24.5247,39.5692,3/12/2024,12/27/2026,TKN-54262218,2/3/2025 23:01,2/3/2025 23:16,2/3/2025 23:06,15,1,DEV-27136111,Active,فعال,Low,None,None
1426,Citizen,1,1501869492,Saudi,Alan G.,590498733,Abha,18.2465,42.5117,3/23/2024,2/8/2027,TKN-83354883,1/29/2025 11:56,1/29/2025 12:11,1/29/2025 12:04,15,1,DEV-58934759,Active,فعال,Low,None,None
1544,Resident,2,2714384353,Egyptian,Alan H.,522997893,Makkah,21.3891,39.8579,7/30/2024,7/14/2026,TKN-67155446,10/3/2025 6:01,10/3/2025 6:16,10/3/2025 6:08,15,1,DEV-01537358,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
2677,Citizen,1,1252448868,Saudi,Alan H.,548449029,Makkah,21.3891,39.8579,7/18/2024,10/1/2026,TKN-56144129,3/27/2025 21:38,3/27/2025 21:53,3/27/2025 21:53,15,1,DEV-25539625,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
2431,Citizen,1,1959912352,Saudi,Alan J.,512665116,Tabuk,28.3833,36.5667,8/29/2025,1/13/2028,TKN-23965753,11/2/2025 2:14,11/2/2025 2:29,11/2/2025 2:26,15,1,DEV-38289812,Active,فعال,Low,None,None
2019,Resident,2,2288103439,Bangladeshi,Alan M.,539386729,Abha,18.2465,42.5117,10/29/2025,2/7/2028,TKN-37237660,11/4/2025 15:59,11/4/2025 16:14,11/4/2025 16:13,15,1,DEV-51455795,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
1677,Citizen,1,1925943596,Saudi,Alan P.,533637158,Makkah,21.3891,39.8579,7/8/2024,8/10/2026,TKN-30746113,6/29/2025 21:36,6/29/2025 21:51,6/29/2025 21:48,15,1,DEV-61289899,Active,فعال,Low,None,None
1434,Citizen,1,1910032902,Saudi,Alan S.,584424395,Makkah,21.3891,39.8579,12/30/2024,12/27/2025,TKN-14269376,3/19/2025 5:08,3/19/2025 5:23,3/19/2025 5:18,15,1,DEV-97984218,Active,فعال,Low,None,None
2032,Citizen,1,1550137670,Saudi,Alan S.,513144983,Madinah,24.5247,39.5692,2/29/2024,6/3/2025,TKN-34387151,5/26/2025 21:42,5/26/2025 21:57,5/26/2025 21:51,15,1,DEV-17653244,Active,فعال,Low,None,None
1814,Resident,2,2618216237,Egyptian,Alan W.,571977968,Madinah,24.5247,39.5692,6/30/2025,5/10/2026,TKN-05993423,8/14/2025 3:45,8/14/2025 4:00,8/14/2025 3:52,15,1,DEV-53131845,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
2998,Citizen,1,1389969500,Saudi,Alec S.,585435906,Madinah,24.5247,39.5692,12/15/2023,10/20/2025,TKN-40565025,1/21/2024 19:59,1/21/2024 20:14,1/21/2024 20:00,15,1,DEV-37658490,Active,فعال,Low,None,None
2889,Citizen,1,1651472531,Saudi,Alejandra G.,539581231,Abha,18.2465,42.5117,4/4/2024,8/18/2026,TKN-52235079,12/28/2024 20:45,12/28/2024 21:00,12/28/2024 20:51,15,1,DEV-81738681,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
2149,Citizen,1,1681581955,Saudi,Alejandra M.,589890520,Abha,18.2465,42.5117,9/3/2024,9/7/2026,TKN-49974754,1/27/2025 23:42,1/27/2025 23:57,1/27/2025 23:43,15,1,DEV-29873401,Active,فعال,Low,None,None
2899,Resident,2,2291951963,Egyptian,Alex C.,513953262,Dammam,26.4207,50.0888,3/24/2024,1/22/2026,TKN-80514538,3/17/2025 5:12,3/17/2025 5:27,3/17/2025 5:17,15,1,DEV-99999999,Suspicious,مشبوه,High,Multiple IDs from single device,DeviceHopping
1256,Citizen,1,1641234259,Saudi,Alex F.,544390017,Jeddah,21.4858,39.1925,8/30/2025,6/3/2026,TKN-23753028,9/27/2025 12:00,9/27/2025 12:15,9/27/2025 12:02,15,1,DEV-42536909,Active,فعال,Low,None,None
3352,Citizen,1,1395075488,Saudi,Alex L.,588987309,Jeddah,21.4858,39.1925,12/27/2024,3/24/2026,TKN-01217856,3/4/2025 7:00,3/4/2025 7:15,3/4/2025 7:05,15,1,DEV-04032404,Active,فعال,Low,None,None
3055,Citizen,1,1002933494,Saudi,Alex M.,524839143,Riyadh,24.7136,46.6753,9/6/2024,9/24/2026,TKN-10885348,10/27/2025 4:49,10/27/2025 5:04,10/27/2025 4:59,15,1,DEV-08756344,Active,فعال,Low,None,None
3648,Resident,2,2097009970,Yemeni,Alex M.,594942254,Madinah,24.5247,39.5692,6/2/2024,3/5/2026,TKN-22437581,11/20/2025 19:17,11/20/2025 19:32,11/20/2025 19:31,15,1,DEV-77777777,Suspicious,مشبوه,High,Multiple IDs from single device,DeviceHopping
3297,Citizen,1,1752074582,Saudi,Alex R.,532581930,Jeddah,21.4858,39.1925,4/7/2025,7/28/2027,TKN-74433731,7/22/2025 8:50,7/22/2025 9:05,7/22/2025 8:59,15,1,DEV-81598826,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
1702,Citizen,1,1767640638,Saudi,Alexa S.,566618508,Jazan,16.8895,42.57,6/7/2025,7/18/2027,TKN-77107404,6/30/2025 21:22,6/30/2025 21:37,6/30/2025 21:23,15,1,DEV-70867152,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
882,Resident,2,2023301671,Syrian,Alexa T.,584311410,Jazan,16.8895,42.57,4/5/2024,4/24/2026,TKN-67009004,8/19/2024 17:12,8/19/2024 17:27,8/19/2024 17:21,15,1,DEV-48905670,Active,فعال,Low,None,None
1619,Citizen,1,1784687698,Saudi,Alexander A.,528311107,Tabuk,28.3833,36.5667,6/17/2025,5/7/2027,TKN-35640783,9/20/2025 1:55,9/20/2025 2:10,9/20/2025 2:03,15,1,DEV-20814723,Active,فعال,Low,None,None
3689,Citizen,1,1481735140,Saudi,Alexander A.,597617026,Dammam,26.4207,50.0888,9/2/2025,4/27/2026,TKN-05858811,9/15/2025 22:17,9/15/2025 22:32,9/15/2025 22:52,15,0,DEV-78356364,Expired,منتهي,Medium,Token Expired,None
1942,Resident,2,2122662806,Egyptian,Alexander C.,576962229,Riyadh,24.7136,46.6753,5/13/2024,8/12/2025,TKN-72239567,8/15/2024 18:46,8/15/2024 19:01,8/15/2024 18:47,15,1,DEV-35557942,Active,فعال,Low,None,None
959,Citizen,1,1678451941,Saudi,Alexander D.,576805681,Tabuk,28.3833,36.5667,6/26/2025,3/29/2028,TKN-07138067,11/3/2025 21:40,11/3/2025 21:55,11/3/2025 21:52,15,1,DEV-57129015,Active,فعال,Low,None,None
2085,Citizen,1,1185311976,Saudi,Alexander F.,569511989,Riyadh,24.7136,46.6753,4/3/2025,7/9/2026,TKN-42832867,5/22/2025 20:48,5/22/2025 21:03,5/22/2025 20:54,15,1,DEV-16457527,Active,فعال,Low,None,None
2369,Citizen,1,1979109760,Saudi,Alexander H.,580778039,Hail,27.5114,41.7208,11/7/2025,12/15/2027,TKN-25284658,11/26/2025 16:42,11/26/2025 16:57,11/26/2025 16:54,15,1,DEV-88127904,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
3823,Citizen,1,1404135528,Saudi,Alexander K.,595831138,Riyadh,24.7136,46.6753,8/5/2024,3/23/2027,TKN-40808628,8/9/2025 2:35,8/9/2025 2:50,8/9/2025 2:36,15,1,DEV-18694139,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
160,Resident,2,2046865930,Yemeni,Alexander L.,573481797,Al Baha,20.0129,41.4677,1/26/2024,8/23/2025,TKN-89241418,11/30/2024 8:30,11/30/2024 8:45,11/30/2024 10:27,15,0,DEV-84866618,Expired,منتهي,Medium,Token Expired,None
721,Citizen,1,1801820909,Saudi,Alexander M.,562478133,Jazan,16.8895,42.57,12/21/2024,4/17/2026,TKN-89969860,3/25/2025 16:19,3/25/2025 16:34,3/25/2025 16:53,15,0,DEV-97396417,Expired,منتهي,Medium,Token Expired,None
1276,Citizen,1,1785490692,Saudi,Alexander M.,586391152,Dammam,26.4207,50.0888,4/10/2024,5/11/2025,TKN-56230397,12/29/2024 1:18,12/29/2024 1:33,12/29/2024 3:16,15,0,DEV-16469333,Expired,منتهي,Medium,Token Expired,None
2956,Citizen,1,1618532414,Saudi,Alexander R.,546138454,Al Baha,20.0129,41.4677,6/24/2024,4/20/2027,TKN-96852768,7/14/2024 11:57,7/14/2024 12:12,7/14/2024 14:03,15,0,DEV-81744253,Expired,منتهي,Medium,Token Expired,None
210,Citizen,1,1714154134,Saudi,Alexandra H.,544210729,Abha,18.2465,42.5117,2/22/2024,1/23/2025,TKN-28772175,8/8/2024 8:22,8/8/2024 8:37,8/8/2024 8:22,15,1,DEV-37562890,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
2598,Citizen,1,1680155569,Saudi,Alexandra H.,555281312,Dammam,26.4207,50.0888,2/22/2025,2/15/2028,TKN-33741535,5/19/2025 13:05,5/19/2025 13:20,5/19/2025 13:16,15,1,DEV-93504629,Active,فعال,Low,None,None
78,Citizen,1,1548868899,Saudi,Alexandra M.,573509974,Dammam,26.4207,50.0888,9/24/2024,1/26/2027,TKN-86449251,5/2/2025 14:28,5/2/2025 14:43,5/2/2025 14:30,15,1,DEV-66590515,Active,فعال,Low,None,None
2429,Citizen,1,1042282178,Saudi,Alexandra R.,528199754,Al Baha,20.0129,41.4677,1/31/2025,11/26/2026,TKN-01153270,3/24/2025 4:09,3/24/2025 4:24,3/24/2025 4:24,15,1,DEV-26231675,Active,فعال,Low,None,None
2111,Citizen,1,1177534709,Saudi,Alexandra T.,571819038,Riyadh,24.7136,46.6753,5/14/2024,9/15/2026,TKN-19035940,5/24/2024 19:12,5/24/2024 19:27,5/24/2024 19:13,15,1,DEV-54284251,Active,فعال,Low,None,None
3858,Resident,2,2478511131,Egyptian,Alexandra W.,555960627,Riyadh,24.7136,46.6753,1/19/2024,8/19/2024,TKN-90772692,7/18/2024 18:36,7/18/2024 18:51,7/18/2024 18:47,15,1,DEV-32579162,Active,فعال,Low,None,None
128,Citizen,1,1057562304,Saudi,Alexandria C.,530364454,Dammam,26.4207,50.0888,2/6/2024,11/12/2026,TKN-87509977,11/2/2025 8:39,11/2/2025 8:54,11/2/2025 8:43,15,1,DEV-00623120,Active,فعال,Low,None,None
3016,Resident,2,2808258062,Pakistani,Alexandria G.,528081314,Abha,18.2465,42.5117,8/4/2025,3/13/2027,TKN-86742050,9/7/2025 19:41,9/7/2025 19:56,9/7/2025 19:55,15,1,DEV-77960688,Suspicious,مشبوه,High,Abnormal request frequency,FrequentGeneration
1310,Citizen,1,1369203324,Saudi,Alexandria M.,568802221,Makkah,21.3891,39.8579,8/12/2025,7/12/2027,TKN-45122444,11/1/2025 0:59,11/1/2025 1:14,11/1/2025 1:05,15,1,DEV-82405166,Active,فعال,Low,None,None
3064,Resident,2,2026618218,Egyptian,Alexis B.,585850627,Al Baha,20.0129,41.4677,8/13/2024,8/14/2025,TKN-34741267,8/26/2024 13:12,8/26/2024 13:27,8/26/2024 13:22,15,1,DEV-68233733,Active,فعال,Low,None,None
3523,Citizen,1,1232957049,Saudi,Alexis M.,525135451,Madinah,24.5247,39.5692,12/26/2023,7/13/2026,TKN-25346115,4/8/2025 0:57,4/8/2025 1:12,4/8/2025 1:08,15,1,DEV-70644071,Active,فعال,Low,None,None
63,Resident,2,2870559510,Indian,Alexis T.,565337219,Riyadh,24.7136,46.6753,6/12/2024,6/10/2025,TKN-17758917,1/26/2025 18:21,1/26/2025 18:36,1/26/2025 18:23,15,1,DEV-50240268,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
2689,Citizen,1,1757693892,Saudi,Alexis W.,563833929,Al Baha,20.0129,41.4677,11/11/2024,8/14/2027,TKN-39680071,6/24/2025 22:38,6/24/2025 22:53,6/25/2025 0:35,15,0,DEV-99672763,Expired,منتهي,Medium,Token Expired,None
129,Citizen,1,1266493008,Saudi,Alfred P.,525898299,Jazan,16.8895,42.57,10/24/2024,6/13/2027,TKN-21182339,11/2/2024 23:18,11/2/2024 23:33,11/2/2024 23:32,15,1,DEV-08484086,Active,فعال,Low,None,None
1810,Resident,2,2948500706,Pakistani,Alice M.,587034049,Al Baha,20.0129,41.4677,3/15/2024,8/10/2026,TKN-97611662,3/14/2025 18:30,3/14/2025 18:45,3/14/2025 18:32,15,1,DEV-46859026,Suspicious,مشبوه,High,Impossible travel speed detected,ImpossibleTravel
1543,Citizen,1,1722418424,Saudi,Alice M.,523530374,Riyadh,24.7136,46.6753,8/16/2025,4/15/2026,TKN-84601804,9/27/2025 2:01,9/27/2025 2:16,9/27/2025 2:11,15,1,DEV-49276680,Active,فعال,Low,None,None
112,Resident,2,2499154414,Filipino,Alice S.,589520597,Madinah,24.5247,39.5692,3/23/2024,8/15/2025,TKN-20549329,4/19/2025 3:21,4/19/2025 3:36,4/19/2025 5:23,15,0,DEV-74315274,Expired,منتهي,Medium,Token Expired,None
805,Citizen,1,1657965465,Saudi,Alicia A.,544856447,Dammam,26.4207,50.0888,1/25/2025,2/5/2027,TKN-73126881,1/28/2025 18:38,1/28/2025 18:53,1/28/2025 18:46,15,1,DEV-42537337,Active,فعال,Low,None,None
2191,Citizen,1,1221651732,Saudi,Alicia A.,540106377,Dammam,26.4207,50.0888,4/24/2025,8/1/2026,TKN-67781898,5/15/2025 14:47,5/15/2025 15:02,5/15/2025 14:52,15,1,DEV-25461679,Active,فعال,Low,None,None
3004,Citizen,1,1185267560,Saudi,Alicia B.,530829470,Hail,27.5114,41.7208,7/13/2024,8/12/2026,TKN-43828140,9/14/2024 4:05,9/14/2024 4:20,9/14/2024 4:48,15,0,DEV-42013498,Expired,منتهي,Medium,Token Expired,None
3863,Citizen,1,1945941211,Saudi,Alicia B.,556948562,Hail,27.5114,41.7208,5/11/2024,11/23/2026,TKN-62629536,9/20/2025 5:57,9/20/2025 6:12,9/20/2025 5:57,15,1,DEV-94970834,Active,فعال,Low,None,None
549,Citizen,1,1065475776,Saudi,Alicia C.,521773787,Madinah,24.5247,39.5692,6/28/2024,1/21/2026,TKN-77826596,11/18/2024 18:24,11/18/2024 18:39,11/18/2024 18:31,15,1,DEV-01654235,Active,فعال,Low,None,None
2223,Citizen,1,1172247459,Saudi,Alicia C.,553685593,Tabuk,28.3833,36.5667,7/25/2025,1/29/2028,TKN-63097739,11/24/2025 19:03,11/24/2025 19:18,11/24/2025 19:18,15,1,DEV-57882737,Active,فعال,Low,None,None
400,Citizen,1,1604006325,Saudi,Alicia D.,539698906,Dammam,26.4207,50.0888,10/28/2024,5/12/2025,TKN-91520177,11/27/2024 13:15,11/27/2024 13:30,11/27/2024 13:22,15,1,DEV-37150416,Active,فعال,Low,None,None
2622,Resident,2,2026066135,Sudanese,Alicia J.,596634490,Jeddah,21.4858,39.1925,1/7/2024,10/11/2025,TKN-50980556,9/27/2024 20:15,9/27/2024 20:30,9/27/2024 20:18,15,1,DEV-88888888,Suspicious,مشبوه,High,Multiple IDs from single device,DeviceHopping
1431,Resident,2,2389571951,Egyptian,Alicia L.,519896028,Abha,18.2465,42.5117,6/9/2024,1/5/2025,TKN-83541589,7/5/2024 6:15,7/5/2024 6:30,7/5/2024 6:18,15,1,DEV-87810480,Active,فعال,Low,None,None
3624,Citizen,1,1785042792,Saudi,Alicia L.,582318275,Hail,27.5114,41.7208,10/30/2024,3/5/2027,TKN-74987584,1/7/2025 11:09,1/7/2025 11:24,1/7/2025 13:13,15,0,DEV-04808805,Expired,منتهي,Medium,Token Expired,None
2379,Citizen,1,1687646966,Saudi,Alicia Z.,592277755,Riyadh,24.7136,46.6753,4/1/2025,11/13/2025,TKN-46862966,5/24/2025 6:13,5/24/2025 6:28,5/24/2025 6:55,15,0,DEV-38986225,Expired,منتهي,Medium,Token Expired,None
1290,Citizen,1,1101451808,Saudi,Alisha A.,572365138,Hail,27.5114,41.7208,9/25/2024,7/4/2027,TKN-79406453,1/3/2025 11:18,1/3/2025 11:33,1/3/2025 11:24,15,1,DEV-24413395,Active,فعال,Low,None,None
